account_id,customer_id,card_number,account_type,account_tier,account_standing
7d28bba4-c14c-470d-80fd-8066f1d7cbe8,4ffc6113-4140-4380-ad15-ba73b10cba5b,5208-0272-3184-5035,credit,silver,red
5800d0f6-e384-42e9-9a22-555ae3ba292b,ff30a5c2-1395-4b5a-aa48-9f1dbcbce041,5188-6083-8011-0307,debit,bronze,red
69b7a7c9-624c-462b-8240-2cc95dce03ef,09da46e0-c13d-43a0-8115-bddb6fab7cdf,5588-6461-5550-9705,credit,platinum,green
ceee419f-eb82-42b9-bfe5-450577443676,7488d57d-0d91-4bed-88c7-5b779fe1b2d2,5355-1146-6709-2158,debit,gold,yellow
ecd99f45-c46c-452a-917c-3d5bebc25203,33f60f91-e422-4a43-bef8-6ee7e8e3e481,5395-0948-5958-5718,debit,gold,green
6ee3e5f2-7963-43b2-b0d5-f4296b7f0979,53157f99-b3d0-4425-b4b9-2603a09a414f,5248-1233-6945-8691,credit,silver,red
0fcd6167-bbe8-4d0f-bad5-255dcc3e20ac,1654a6ff-24ac-4b49-bce3-3952f8eabe00,5117-8653-7457-0187,credit,gold,green
10fe4174-4239-4188-9346-2c55a29961b3,6278d69a-69d1-4b66-b62c-68ce1bb51d2d,5267-8903-3511-6183,debit,silver,red
cf9274e7-8dd4-4803-8f14-cc8001f1e148,795c4dc0-e5c1-4414-8e72-fce0c4f2a0c4,5341-4936-4651-9656,credit,gold,red
037720af-c617-44e2-9193-32c230343c68,9107d8fa-3bd1-47a5-acef-33ecf9115168,5224-9182-0025-8475,debit,silver,green
3aa6ed8d-2063-46cd-b7e5-076b92733b02,eebab010-062e-49fc-94d2-4654465140e7,5412-7429-6684-4050,credit,silver,red
5ade2bf6-73d8-4664-a30a-4e7915f7c33f,05a7d926-06d0-40be-9875-c4a28ae5c0c6,5388-0450-7896-1667,debit,gold,red
8d92f9cb-5751-403a-8339-bce1aa1a4a84,28553f0c-b359-403e-80d7-b60835d72c5b,5390-0206-5657-3289,credit,platinum,green
9a059408-f535-43ed-b12d-716bbe5094dd,fc4f94c9-4206-4b60-a984-47fc37d83356,5249-8746-9856-0628,credit,platinum,yellow
d9e0d64a-4eff-4fe7-9a57-954a09bb2bfc,37fafcb4-4481-4833-9f4c-36f764af57ec,5300-8366-4867-4094,credit,bronze,red
93e28a07-0da4-4dfa-b1e7-392d7a19052b,fb548be3-34c4-4b4c-8917-a1b729de5a71,5228-3982-6893-7888,debit,bronze,yellow
212ed9f6-7656-4885-9b64-590e84a6eed8,9d368475-bee5-44eb-bab6-536c56bb96e8,5573-6138-4957-4724,debit,gold,green
415bcb46-2f49-4546-9501-e06395b09805,780f330b-4c56-4904-b6da-7c043d9a64fb,5395-1014-6867-3734,credit,platinum,yellow
04fd4e67-f9a7-48e8-bde3-eb97d9669101,1f1c08ad-e6e6-4bff-b72d-7980c038eae9,5535-7016-9320-7157,debit,bronze,yellow
c4a7b340-babf-4531-9e4b-54bfe6872bc6,cf2e3e7a-575d-4d92-9c42-6976fd9eccbd,5129-5881-3885-8591,credit,bronze,green
d7a2ce99-586f-437c-b29d-99377a97cd53,8e9be8cc-a6a2-4c77-9c85-eab54ed2d85d,5113-5726-5923-8985,debit,bronze,yellow
4d9b9e68-0954-493c-b8c3-08ce0360948d,3da62403-04db-400f-87b4-1005572718bd,5204-9950-9714-9813,credit,bronze,green
a358cd37-c184-4e55-b55a-c75e3403e0a9,7ef543e3-6e30-45a1-8bbd-b598ab6ff6be,5476-9649-6111-4544,credit,bronze,yellow
5b9deea8-3126-419c-ab8d-74d98680f72c,f5c60931-783a-4a54-a88a-5f2ffad42c85,5240-4499-8729-6207,debit,gold,red
deb0e632-0aa6-42c2-ac38-c7bed8d6acbd,53bb099a-5c1d-46c7-86c1-8375f3a89e09,5327-3008-7391-8527,credit,bronze,red
7b60428c-28d0-4b44-9bc5-cf9311e61213,6dfc67eb-47ae-4ed3-aa2e-62713d6536d1,5337-1521-3226-8311,debit,bronze,green
2a632315-6ede-4483-889b-377fa124dd29,4503b503-1843-4f17-ac9f-e87629128471,5409-3694-9725-5120,debit,silver,green
4c924027-5876-4eba-b427-3fc2cb4fe38c,db9f2184-0772-49e6-8d85-cf9555385f0c,5200-3303-2915-1557,debit,bronze,yellow
8e832e27-c6c1-4d07-98f9-afa94fd13d08,73fe0d62-b18f-45dc-89ed-f02b9994af02,5308-7672-2818-5536,credit,silver,red
53ed2edc-5926-40e0-8b0d-6376085fac9a,a4eb7e7a-ce56-4a7b-bdd3-43ede2e7f5f4,5125-0397-2027-5145,debit,bronze,yellow
bede250a-3299-46d4-a78c-872d3ab29826,dfcff756-badd-450f-bd7d-7c9c87bb17fd,5244-5212-5970-1217,debit,platinum,yellow
cc9723be-ac31-46a7-aa38-22d09503af75,fec1cb3f-0609-4de0-9af7-3a2e2d97d1bb,5125-1672-6317-8895,credit,platinum,green
2652d29e-f2de-44c2-a2bf-4c2a70eec7a2,70dda73b-ac4b-4a8c-861b-5903e68179be,5271-9849-9756-5276,credit,platinum,red
6d37d9b4-22f6-401b-837e-2dc7043a0196,4879aab8-12d3-4c2a-833e-a135f8a6dcc0,5565-4582-5328-8613,debit,bronze,red
0cfc32a6-42e8-4887-8ca2-15f4d7d31310,2a1a51f2-3530-4d62-87cf-ae48f4b14ba0,5420-9194-8354-9236,debit,silver,green
9698f99c-c77d-48c3-9b16-a949a80076da,858eb58e-d1a0-4e1d-9313-fe5177360991,5376-7212-5573-2048,debit,silver,red
3f62feb4-0ab4-4e9f-af40-eb05b5b719e8,feddf255-d9b1-436d-a6c3-7aeea5655f3a,5438-0400-8251-0188,debit,silver,green
c64daaf7-3dd4-4c1f-bdf0-27bd89f36077,68002471-3ac2-4545-8e45-3b4327b2b216,5105-5035-5649-6319,credit,silver,red
dafddc75-6671-4c9a-8aa1-ff1efd18aef7,74d9a42a-2d1c-449c-aa30-c70167508dca,5415-0518-1401-4503,debit,platinum,yellow
c2b6338f-bf47-4ec9-850d-b84e3017f718,a3b282de-655e-420e-9b46-6e46f60bd5d2,5312-4889-9861-9265,debit,bronze,yellow
93833eca-f1ba-42df-a0fe-cdc4d10ac271,1065d786-13b9-4a9e-9cec-70352aa17054,5213-2011-3443-8833,debit,platinum,red
799fbf45-e0d3-419e-af0d-4e5719e113b9,00332214-b6dd-47ab-92ff-ab26ed436490,5275-1344-9870-7946,credit,gold,yellow
08b0629b-3b89-4ae6-9766-f5dc0df46f1b,1c7ad6d0-c64c-4d1e-a403-84511eaa851e,5230-9636-1397-6109,debit,silver,green
4aaee3e3-6664-4f37-beb1-1ea5a62c5ff9,2f18a078-c6af-4582-ac87-8eafab1c27b0,5274-7799-2731-5900,credit,gold,green
a97b7410-8481-47d2-8753-dec81ebea311,d5656040-dbb5-4957-acbf-7234fa2ccb8b,5193-0927-1756-1404,credit,gold,red
24fa402c-d0a0-42ba-81b7-dff9ab7adef9,c9e5ff7d-b783-4a96-a33f-35681087acd1,5320-4062-5159-0759,debit,silver,red
c215929b-4743-439b-8828-ee8272452b6f,adb3c188-094c-4e93-b240-e3c3084e8d37,5344-8592-7503-7755,credit,platinum,yellow
3e474290-1e7d-44a4-97a4-6a310dd93416,6471652d-5834-43f9-aa8d-886ec3dea4cd,5569-8056-4083-5025,credit,bronze,green
761749ef-51d0-4ff1-b3b8-2eebc7b9ac47,d15d12d4-8a3d-47f7-8f2a-2080bacaef2c,5584-2806-3812-7788,credit,bronze,red
d0bd1dfb-4d00-4a29-a486-6bde02980fa5,358efd22-7e54-421b-9765-8ca19cab2a20,5381-7161-6497-5392,credit,bronze,red
5e552a92-7465-400d-855f-1d9b456eec10,999d53c7-0951-422c-bf5d-46a0b92dd23f,5266-4193-0461-0157,debit,gold,yellow
f1f9ae27-7ae2-4146-b535-6d37a3acbbef,a77ef650-c755-48bd-9fc0-cc278c536a69,5535-4120-9726-7520,credit,silver,red
ccb1a546-20f4-47a1-8a39-1596ca7be6a8,7d9adc69-aac0-4feb-9cf6-a7f42cd28ada,5290-1826-2149-9817,debit,platinum,red
eed1213d-86c9-4020-b616-98ca5a535288,c80363c1-ca4f-4bd9-b6a5-b2ae4236ba04,5114-7719-7464-1951,credit,platinum,green
9caf52fd-f1c8-4032-a6a1-b868f30fb3a8,3f1f7c83-e684-46ae-b038-8ed7a5dcfa0a,5171-2080-7059-8538,credit,gold,red
0fbac8f2-c7be-412f-8e51-053a67c7418a,5c5b16cb-e7d6-4e3e-af6a-2408300b2c1b,5387-6340-2124-5988,debit,gold,red
1f677be2-7f21-4763-9663-b81bbd79552c,7e68f165-450f-4cf9-a7a3-8a6a60b3b845,5455-8552-2042-4143,debit,gold,red
cfcee963-32aa-43d5-9483-5abeb2221485,8fdb3403-2beb-457e-a7ec-f679d96e4eff,5414-8748-0228-2647,credit,bronze,green
